"NUM_CLIENT"	"SOLDE"
2621	-2098,346
2622	0
2623	-1975,809
2624	-16,52
2625	-375,9
2626	0
2627	0
2628	0
2629	-1129,625
2630	-733,567
2631	-364,709
2632	0
2633	-5846,872
2634	0
2635	0
2636	-279,555
2637	-4987,253
2638	-4934
2639	0
2640	-498,099
2641	-1283,856
2642	-4551,371
2643	0
2644	-10003
2645	-10008
2646	749,684
2647	0
2648	-4901,126
2649	-3502,234
2650	0
2651	-564,883
2652	0
2653	-535,173
2654	-664,712
2655	0
2656	-251,998
2657	1298,254
2658	-9
2659	0
2660	-6443,136
2661	0
2662	-1758,945
2663	0
2664	0
2665	-247,28
2666	-5467,85
2667	-3397,847
2668	-136,274
2669	-27
2670	0
2671	-5156,182
2672	0
2673	0
2674	-22623,24
2675	-1190,178
2676	-3502,952
2677	0
2678	-218,34
2679	0
2680	0
2681	0
2682	0
2683	0
2684	0
2685	0
2686	-2526,677
2687	-7143,697
2688	0
2689	-2470,038
2690	-5338,525
2691	-1243,532
2692	-1027,347
2693	-8169,431
2694	-639,7
2695	0
2696	-4891,364
2697	-930,1
2698	0
2699	-176,08
2700	-9728,636
2701	-201,34
2702	-4018,14
2703	-1944,002
2704	0
2705	0
2706	-5473,998
2707	0
2708	-2434
2709	0
2710	-854,712
2711	0
2712	-3122,983
2713	-276,356
2714	137,177
2715	0
2716	-715,209
2717	-851,462
2718	-494,953
2719	-3392,373
2720	-1208,507
2721	0
2722	-264,034
2723	0
2724	2635,08
2725	-7462,826
2726	0
2727	0
2728	-928,736
2729	0
2730	0
2731	0
2732	-201,34
2733	0
2734	0
2735	-1589,542
2736	-3168,618
2737	379,881
2738	-2340,959
2739	-2440,455
2740	0
2741	-1236,388
2742	0
2743	-358,42
2744	0
2745	-1224,958
2746	0
2747	-250,3
2748	-1966,185
2749	-41,976
2750	0
2751	-176,08
2752	-1,9
2753	-971,868
2754	-1373,211
2755	-324,515
2756	-325,661
2757	-4388,356
2758	0
2759	0
2760	0
2761	0
2762	0
2763	0
2764	0
2765	-778,602
2766	-2129,908
2767	-168,7
2768	0
2769	-2255,036
2770	0
2771	0
2772	-21010,643
2773	0
2774	0
2775	0
2776	0
2777	-1928,004
2778	0,425
2779	-566,108
2780	-400,296
2781	0
2782	-2154,597
2783	-2026,808
2784	0
2785	-5192,092
2786	0
2787	-1000,309
2788	0
2789	0
2790	0
2791	-1693,776
2792	0
2793	0
2794	-829,061
2795	0
2796	-494,324
2797	-9,341
2798	0
2799	0
2800	0
2801	0
2802	0
2803	0
2804	0
2805	0
2806	0
2807	-274,064
2808	-181,78
2809	-1754,488
2810	0
2811	-256,32
2812	0
2813	0
2814	-227
2815	0
2816	0,646
2817	0
2818	0
2819	0
2820	-6103,563
2821	-587,052
2822	-475,872
2823	0
2824	0
2825	0
2826	0
2827	0
2828	0
2829	-1690,25
2830	0
2831	-945,737
2832	-93
2833	0,076
2834	0
2835	-2019,968
2836	-0,186
2837	-35,68
2838	-793,692
2839	0
2840	0
2841	0
2842	525,185
2843	0
2844	-5643,968
2845	-181,78
2846	-181,78
2847	0
2848	-4101,1
2849	610,688
2850	0
2851	0
2852	0
2853	0
2854	-414,14
2855	0
2856	0
2857	0
2858	1,693
2859	-5069,914
2860	0
2861	-214344,688
2862	0
2863	0
2864	0
2865	-2048,1
2866	1423,086
2867	0
2868	-444,186
2869	-1224,023
2870	14,404
2871	0
2872	-584,854
2873	734,016
2874	-11164,75
2875	0
2876	0
2877	-631,38
2878	-1295,274
2879	99,124
2880	-945,09
2881	-176,08
2882	0
2883	-574,892
2884	176,08
2885	-35
2886	0
2887	-25658,256
2888	0
2889	-793,155
2890	0
2891	-0,038
2892	-676,68
2893	0,392
2894	0
2895	0
2896	0
2897	0
2898	0
2899	0
2900	0
2901	11607,717
2902	-1444,444
2903	-2816,099
2904	0
2905	0
2906	0
2907	-26533
2908	0
2909	0
2910	0
2911	0
2912	0
2913	-127
2914	0
2915	1,276
2916	-1302,96
2917	0
2918	0
2919	0
2920	0
2921	0
2922	0
2923	0
2924	0
2925	0
2926	-272,692
2927	0
2928	0,003
2929	0
2930	-417,951
2931	0
2932	0
2933	0
2934	-246,28
2935	0
2936	-825,684
